timestamp,price,quantity,side,level
93,102.554,3,ask,3
93,102.674,1,ask,4
93,102.675,3,ask,5
94,100.571,1,bid,1
94,99.9778,4,bid,2
94,99.2027,1,bid,3
94,98.9814,1,bid,4
94,97.8376,3,bid,5
94,102.486,3,ask,1
94,102.554,3,ask,2
94,102.674,1,ask,3
94,102.675,3,ask,4
94,102.782,1,ask,5
95,98.9814,1,bid,1
95,97.8376,3,bid,2
95,97.7795,2,bid,3
95,97.4211,4,bid,4
95,97.3964,2,bid,5
95,102.486,1,ask,1
95,102.554,3,ask,2
95,102.674,1,ask,3
95,102.675,3,ask,4
95,102.782,1,ask,5
96,101.485,4,bid,1
96,98.9814,1,bid,2
96,97.8376,3,bid,3
96,97.7795,2,bid,4
96,97.4211,4,bid,5
96,102.486,1,ask,1
96,102.554,3,ask,2
96,102.674,1,ask,3
96,102.675,3,ask,4
96,102.782,1,ask,5
97,101.485,3,bid,1
97,101.043,1,bid,2
97,98.9814,1,bid,3
97,98.9414,5,bid,4
97,97.8376,3,bid,5
97,102.486,1,ask,1
97,102.554,3,ask,2
97,102.674,1,ask,3
97,102.675,3,ask,4
97,102.782,1,ask,5
98,98.9814,1,bid,1
98,98.9414,5,bid,2
98,97.8376,3,bid,3
98,97.7795,2,bid,4
98,97.4211,4,bid,5
98,99.2262,3,ask,1
98,102.486,1,ask,2
98,102.554,3,ask,3
98,102.674,1,ask,4
98,102.675,3,ask,5
99,99.3942,1,bid,1
99,98.9814,1,bid,2
99,98.9414,5,bid,3
99,97.8376,3,bid,4
99,97.7795,2,bid,5
99,102.486,1,ask,1
99,102.554,3,ask,2
99,102.674,1,ask,3
99,102.675,3,ask,4
99,102.782,1,ask,5
100,98.9814,1,bid,1
100,98.9414,5,bid,2
100,97.8376,3,bid,3
100,97.7795,2,bid,4
100,97.4211,4,bid,5
100,102.486,1,ask,1
100,102.554,3,ask,2
100,102.674,1,ask,3
100,102.675,3,ask,4
100,102.782,1,ask,5
101,100.057,1,bid,1
101,98.9814,1,bid,2
101,98.9414,5,bid,3
101,97.8376,3,bid,4
101,97.7795,2,bid,5
101,102.486,1,ask,1
101,102.554,3,ask,2
101,102.674,1,ask,3
101,102.675,3,ask,4
101,102.782,1,ask,5
102,98.9814,1,bid,1
102,98.9414,5,bid,2
102,97.8376,3,bid,3
102,97.7795,2,bid,4
102,97.4211,4,bid,5
102,99.0658,1,ask,1
102,102.554,3,ask,2
102,102.674,1,ask,3
102,102.675,3,ask,4
102,102.782,1,ask,5
103,98.9814,1,bid,1
103,98.9414,5,bid,2
103,97.8376,3,bid,3
103,97.7795,2,bid,4
103,97.4211,4,bid,5
103,99.0658,1,ask,1
103,102.554,3,ask,2
103,102.674,1,ask,3
103,102.675,3,ask,4
103,102.75,3,ask,5
104,101.881,3,bid,1
104,97.8376,1,bid,2
104,97.7795,2,bid,3
104,97.4211,4,bid,4
104,97.3964,2,bid,5
104,102.554,3,ask,1
104,102.674,1,ask,2
104,102.675,3,ask,3
104,102.75,3,ask,4
104,102.782,1,ask,5
105,101.881,1,bid,1
105,97.8376,1,bid,2
105,97.7795,2,bid,3
105,97.4211,4,bid,4
105,97.3964,2,bid,5
105,102.675,2,ask,1
105,102.75,3,ask,2
105,102.782,1,ask,3
105,102.803,1,ask,4
105,102.819,5,ask,5
106,97.4211,3,bid,1
106,97.3964,2,bid,2
106,97.3176,3,bid,3
106,97.2238,4,bid,4
106,97.1581,5,bid,5
106,97.8086,3,ask,1
106,102.675,2,ask,2
106,102.75,3,ask,3
106,102.782,1,ask,4
106,102.803,1,ask,5
107,97.4211,3,bid,1
107,97.3964,2,bid,2
107,97.3176,3,bid,3
107,97.2238,4,bid,4
107,97.1581,5,bid,5
107,97.8086,3,ask,1
107,102.675,2,ask,2
107,102.75,3,ask,3
107,102.782,1,ask,4
107,102.803,1,ask,5
108,97.4211,3,bid,1
108,97.3964,2,bid,2
108,97.3176,3,bid,3
108,97.2238,4,bid,4
108,97.1581,5,bid,5
